network,algorithm,budget,attack_type,attack_intensity,run_id,net_nodes,net_edges,net_density,net_max_core,net_clustering,edges_added,followers_gained,nodes_removed_orig,nodes_removed_reinf,orig_core_resilience,orig_core_damage,reinf_core_resilience,reinf_core_damage,core_improvement,resilience_improvement,efficiency
karate_club,MRKC,5,degree,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,5,degree,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,5,degree,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,5,degree,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,degree,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,degree,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,degree,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,degree,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,degree,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,degree,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,degree,0.2,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,degree,0.2,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,6,6,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,kcore,0.05,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,5,kcore,0.05,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,5,kcore,0.05,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,1,1,1.0,0,1.0,0,0,0.0,0.0
karate_club,MRKC,5,kcore,0.1,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,kcore,0.1,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,kcore,0.1,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,3,3,0.75,1,0.75,1,0,0.0,0.0
karate_club,MRKC,5,kcore,0.15,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,kcore,0.15,1,34,78,0.13903743315508021,4,0.5706384782076823,5,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,kcore,0.15,2,34,78,0.13903743315508021,4,0.5706384782076823,5,0,5,5,0.5,2,0.5,2,0,0.0,0.0
karate_club,MRKC,5,kcore,0.2,0,34,78,0.13903743315508021,4,0.5706384782076823,5,0,6,6,0.5,2,0.5,2,0,0.0,0.0
